Time,RecordID,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4
529,228609,0.17,-0.06,0.04,0,0,0,-0.27,0,-0.18,0.2,0.32,-0.28
532,228610,0.37,-0.13,0.22,0,0,0,-0.2,-0.18,-0.07,0.21,0.25,-0.14
535,228611,0.24,-0.19,0.17,0,0,0,-0.49,0.03,-0.06,0.02,-0.2,-0.33
537,228612,0.14,-0.03,0.04,0,0,0,-0.24,-0.1,-0.15,0,0.06,-0.43
539,228613,0.06,-0.13,-0.01,0,0,0,-0.18,-0.15,-0.18,0.26,0.31,-0.06
542,228614,0.16,0.06,-0.2,0,0,0,-0.19,-0.11,-0.06,0.34,0.19,0.04
593,228615,-0.1,0.08,0.17,0,0,0,-0.05,-0.08,0.01,-0.31,0.13,0.03
594,228616,-0.05,0.25,-0.11,0,0,0,-0.1,0.09,-0.01,-0.03,-0.1,0.04
597,228617,-0.06,0.21,0.1,0,0,0,0.21,0.07,0.09,-0.28,0.17,0.02
600,228618,-0.16,0.15,-0.18,0,0,0,0.28,-0.07,0.27,-0.18,0.02,0.15
602,228619,-0.08,0.08,0.03,0,0,0,0.22,0.38,0.26,-0.05,0.25,-0.12
605,228620,-0.31,0.13,0.12,0,0,0,0.42,0.01,-0.15,-0.36,0.02,0.02
608,228621,-0.17,-0.16,0.14,0,0,0,0.13,-0.23,0.12,-0.05,0.24,-0.02
610,228622,-0.05,0.03,0.06,0,0,0,0.23,0.27,0.16,-0.53,0.06,0.04
613,228623,-0.46,0.03,0.38,0,0,0,-0.04,-0.05,0.18,0.03,0.21,-0.1
615,228624,0.07,0.1,0.14,0,0,0,0.01,0.09,0.12,-0.29,0.27,0.05
666,228625,-0.08,0.35,-0.13,0,0,0,0.38,-0.24,0.11,0,-0.16,-0.14
668,228626,0.1,0.07,-0.46,0,0,0,0.32,0,-0.2,-0.04,0.12,-0.23
671,228627,-0.05,0.09,-0.22,0,0,0,0.09,0.02,0.1,-0.12,-0.2,-0.23
673,228628,0.05,0.05,0.04,0,0,0,0.43,-0.08,-0.08,0.06,-0.14,-0.07
675,228629,-0.1,0,-0.35,0,0,0,0.21,-0.03,0,-0.12,-0.11,-0.43
679,228630,-0.04,0.38,-0.18,0,0,0,0.23,-0.17,0.21,-0.06,0,0.11
680,228631,-0.11,0.31,0.03,0,0,0,0.18,0.07,-0.03,-0.13,-0.03,0.34
683,228632,-0.11,0.04,-0.05,0,0,0,0.15,0.06,0.1,-0.09,-0.21,0.08
686,228633,-0.16,0.12,0.2,0,0,0,-0.06,-0.07,0.06,-0.05,-0.41,0.16
689,228634,-0.14,0,0.08,0,0,0,0.15,0.23,0.16,-0.06,-0.21,-0.13
740,228635,0.1,-0.04,0,0,0,0,-0.28,-0.02,0.03,0.13,-0.13,-0.36
741,228636,0.09,0.02,-0.24,0,0,0,-0.21,-0.01,0,0.22,-0.1,-0.07
743,228637,0.1,0.02,-0.19,0,0,0,-0.06,0.07,0.05,0.36,0.11,0.04
746,228638,-0.02,0.09,-0.1,0,0,0,-0.1,-0.11,-0.24,-0.09,-0.04,0.12
749,228639,0.16,-0.04,0.06,0,0,0,-0.16,-0.14,-0.32,0.15,0.06,0.12
752,228640,0.22,-0.05,0.06,0,0,0,-0.17,-0.08,-0.15,0.08,0.01,0.03
754,228641,-0.17,-0.16,0.11,0,0,0,-0.49,0.05,-0.01,0.04,-0.19,-0.14
757,228642,0.11,-0.11,-0.02,0,0,0,-0.04,0.2,-0.22,0.07,-0.18,0.11
759,228643,0.02,0,0.19,0,0,0,0.08,0.16,-0.12,0.2,-0.09,0.01
762,228644,-0.08,-0.02,-0.13,0,0,0,-0.09,-0.12,-0.35,0.13,0.12,0.18
